name,description,nutrition
Parle - g,"<div class=""jss65"">Parle, <!-- -->12<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 250<!-- --> <span class=""jss67"">•</span>Carbs: 43g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Parle-g Gold,"<div class=""jss65"">Parle, <!-- -->56<!-- --> <!-- -->g (9 pieces)</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 43g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Parle - g (Shyam),"<div class=""jss65"">Parle, <!-- -->1<!-- --> <!-- -->Biscuit</div>","<div class=""jss70"">Calories: 21<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Parle-G,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 453<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Cookies,"<div class=""jss65"">Parle g, <!-- -->5<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
بسكويت parle -g,"<div class=""jss65""> parle -g, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 453<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Biscuits,"<div class=""jss65"">Parle g, <!-- -->5<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Biscuits,"<div class=""jss65"">Parle-g, <!-- -->1<!-- --> <!-- -->pc</div>","<div class=""jss70"">Calories: 16<!-- --> <span class=""jss67"">•</span>Carbs: 10g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Cookies,"<div class=""jss65"">Parle-g, <!-- -->5<!-- --> <!-- -->pieces (27.5g)</div>","<div class=""jss70"">Calories: 125<!-- --> <span class=""jss67"">•</span>Carbs: 21g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Parle-G biscuits ,"<div class=""jss65"">parle, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Parle G biscuits India ,"<div class=""jss65"">Parle-G, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Parle g,"<div class=""jss65"">Mayank, <!-- -->50<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 225<!-- --> <span class=""jss67"">•</span>Carbs: 39g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Parle-g Biscuits Milk & Wheat,"<div class=""jss65"">Parle, <!-- -->5<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
biscuts,"<div class=""jss65"">parle g, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Parle-g Biscuits,"<div class=""jss65"">Generic, <!-- -->5<!-- --> <!-- -->single Biscuit</div>","<div class=""jss70"">Calories: 125<!-- --> <span class=""jss67"">•</span>Carbs: 21g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Glucose Biscuits,"<div class=""jss65"">Parle-g, <!-- -->1<!-- --> <!-- -->packet</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 88g<!-- --> <span class=""jss67"">•</span>Fat: 14g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Gold Biscuits,"<div class=""jss65"">Parle, Parle-G, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 462<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Gluco Biscuit,"<div class=""jss65"">Parle-g, <!-- -->10<!-- --> <!-- -->pcs</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Marie Biscuits,"<div class=""jss65"">Parle-g, <!-- -->5<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 114<!-- --> <span class=""jss67"">•</span>Carbs: 20g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Parle  g,"<div class=""jss65"">Shafina, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 440<!-- --> <span class=""jss67"">•</span>Carbs: 73g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Parle  g,"<div class=""jss65"">Shafina, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 440<!-- --> <span class=""jss67"">•</span>Carbs: 73g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
biscuit,"<div class=""jss65"">parle G, <!-- -->1<!-- --> <!-- -->package</div>","<div class=""jss70"">Calories: 60<!-- --> <span class=""jss67"">•</span>Carbs: 44g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Glucose Biscuits 100 g,"<div class=""jss65"">Parle - g, <!-- -->100<!-- --> <!-- -->gms</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Tea Bicuits,"<div class=""jss65"">Parle-G, <!-- -->9<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 44g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Galleta,"<div class=""jss65"">Parle-G, <!-- -->56<!-- --> <!-- -->gramo</div>","<div class=""jss70"">Calories: 245<!-- --> <span class=""jss67"">•</span>Carbs: 47g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Bisket,"<div class=""jss65"">Parle G, <!-- -->12<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 44g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Wheat  Biscuit,"<div class=""jss65"">Parle g, <!-- -->5<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Gold,"<div class=""jss65"">Parle G, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 462<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Biscuit,"<div class=""jss65"">Parle-G, <!-- -->1<!-- --> <!-- -->Biscuit</div>","<div class=""jss70"">Calories: 454<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Biscuits,"<div class=""jss65"">Parle-g Anish, <!-- -->5<!-- --> <!-- -->pieces(23.g)</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Parle-G Original Gluco Biscuits,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 453<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Cookies Biscuits,"<div class=""jss65"">Parle-g, <!-- -->1<!-- --> <!-- -->package</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 44g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
"Parle-G (Feb 2019, India)","<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 453<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Glucose Buiscuit (Cookies),"<div class=""jss65"">Parle g, <!-- -->5<!-- --> <!-- -->biscuits (cookies)</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Original Gluco Biscuit,"<div class=""jss65"">Parle-G, <!-- -->12<!-- --> <!-- -->per pack</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 44g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
cookies,"<div class=""jss65"">parle g cookies, <!-- -->58<!-- --> <!-- -->g 12 cookies</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 44g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Glucose Biscuit India,"<div class=""jss65"">Parle-g, <!-- -->1<!-- --> <!-- -->piece</div>","<div class=""jss70"">Calories: 22<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
whole wheat ,"<div class=""jss65"">Parle-G -G, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 343<!-- --> <span class=""jss67"">•</span>Carbs: 72g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
Original Gluco Buiscuits,"<div class=""jss65"">Parle-g, <!-- -->11<!-- --> <!-- -->pieces/ full pack</div>","<div class=""jss70"">Calories: 316<!-- --> <span class=""jss67"">•</span>Carbs: 53g<!-- --> <span class=""jss67"">•</span>Fat: 10g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Parle-G Original Gluco Biscuits (Canada),"<div class=""jss65"">Parle, <!-- -->6<!-- --> <!-- -->Biscuits (30g)</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 23g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Original Gluco Biscuits,"<div class=""jss65"">Parle g, <!-- -->75<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 350<!-- --> <span class=""jss67"">•</span>Carbs: 59g<!-- --> <span class=""jss67"">•</span>Fat: 10g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
biscuits,"<div class=""jss65"">Parle G gold, <!-- -->5<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 140<!-- --> <span class=""jss67"">•</span>Carbs: 23g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Parle-G(Original Gluco® Biscuits),"<div class=""jss65"">PARLE, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 453<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Glucose biscuits,"<div class=""jss65"">Parle G, <!-- -->11<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 462<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Gluco Biscuits,"<div class=""jss65"">Parle - g, <!-- -->28<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 128<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
gluco cookies,"<div class=""jss65"">parle-g, <!-- -->6<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
CFS Parle G,"<div class=""jss65"">CFS, <!-- -->3.7<!-- --> <!-- -->g 1 biscuit</div>","<div class=""jss70"">Calories: 17<!-- --> <span class=""jss67"">•</span>Carbs: 3g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Glucose Biscuit,"<div class=""jss65"">Parle-G, <!-- -->1<!-- --> <!-- -->biscuit</div>","<div class=""jss70"">Calories: 22<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
gluco biscuits,"<div class=""jss65"">Parle-G, <!-- -->7<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 130<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Biscuit,"<div class=""jss65"">Parle G Gold, <!-- -->1<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 462<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
"Biscuits 6gm, 30cLs","<div class=""jss65"">Parle G, <!-- -->1<!-- --> <!-- -->piece</div>","<div class=""jss70"">Calories: 30<!-- --> <span class=""jss67"">•</span>Carbs: 5g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Original Gluco Biscuits (Export Pack),"<div class=""jss65"">Parle-g, <!-- -->5<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 108<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Original Gluco Biscuits,"<div class=""jss65"">Parle-G, <!-- -->5.2<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 589<!-- --> <span class=""jss67"">•</span>Carbs: 101g<!-- --> <span class=""jss67"">•</span>Fat: 17g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Glucose biscuits,"<div class=""jss65"">Parle G Biscuits, <!-- -->110<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 453<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Glucose Biscuits,"<div class=""jss65"">Parle g Gold, <!-- -->100<!-- --> <!-- -->gms (16 biscuits)</div>","<div class=""jss70"">Calories: 462<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Galletas sabor vainilla,"<div class=""jss65"">Parle G, <!-- -->11<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 47<!-- --> <span class=""jss67"">•</span>Carbs: 8g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
milk wheat biscuits,"<div class=""jss65"">parle g biscuit, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 450<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Original Gluco Biscuits 100g,"<div class=""jss65"">Parle-g, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Original Gluco Biscuits (India),"<div class=""jss65"">Parle -g, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 451<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Cheeslings,"<div class=""jss65"">Parle, <!-- -->32<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 157<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Rusk,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 434<!-- --> <span class=""jss67"">•</span>Carbs: 79g<!-- --> <span class=""jss67"">•</span>Fat: 10g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Melody,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 432<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Magix,"<div class=""jss65"">Parle, <!-- -->1<!-- --> <!-- -->packet</div>","<div class=""jss70"">Calories: 477<!-- --> <span class=""jss67"">•</span>Carbs: 73g<!-- --> <span class=""jss67"">•</span>Fat: 18g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Parle 20-20 (Butter Cookies),"<div class=""jss65"">Parle, <!-- -->50<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 245<!-- --> <span class=""jss67"">•</span>Carbs: 35g<!-- --> <span class=""jss67"">•</span>Fat: 10g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
poppins,"<div class=""jss65"">parle, <!-- -->1<!-- --> <!-- -->pack</div>","<div class=""jss70"">Calories: 45<!-- --> <span class=""jss67"">•</span>Carbs: 98g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Himtar Parle g Original Gluco Biscuits,"<div class=""jss65"">Generic, <!-- -->5<!-- --> <!-- -->pc (23.5g)</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Monaco,"<div class=""jss65"">Parle, <!-- -->1<!-- --> <!-- -->Packet</div>","<div class=""jss70"">Calories: 189<!-- --> <span class=""jss67"">•</span>Carbs: 25g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
cookie,"<div class=""jss65"">parle, <!-- -->1<!-- --> <!-- -->cookie</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 44g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Chocolate Chip Biscuits 100 g,"<div class=""jss65"">Parle Hide and Seek, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 482<!-- --> <span class=""jss67"">•</span>Carbs: 74g<!-- --> <span class=""jss67"">•</span>Fat: 18g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Krackjack,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 491<!-- --> <span class=""jss67"">•</span>Carbs: 70g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Frooti,"<div class=""jss65"">Parle Agro, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 65<!-- --> <span class=""jss67"">•</span>Carbs: 16g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Appy Juice,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 65<!-- --> <span class=""jss67"">•</span>Carbs: 16g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Krackjack -pack,"<div class=""jss65"">Parle, <!-- -->19<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 310<!-- --> <span class=""jss67"">•</span>Carbs: 41g<!-- --> <span class=""jss67"">•</span>Fat: 14g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Biscuit,"<div class=""jss65"">Parle Monaco, <!-- -->9<!-- --> <!-- -->pcs</div>","<div class=""jss70"">Calories: 124<!-- --> <span class=""jss67"">•</span>Carbs: 17g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Hide & Seek,"<div class=""jss65"">Parle, <!-- -->10<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 270<!-- --> <span class=""jss67"">•</span>Carbs: 41g<!-- --> <span class=""jss67"">•</span>Fat: 10g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Premium rusk,"<div class=""jss65"">Parle, <!-- -->3<!-- --> <!-- -->Pieces</div>","<div class=""jss70"">Calories: 120<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Namkeen,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 550<!-- --> <span class=""jss67"">•</span>Carbs: 48g<!-- --> <span class=""jss67"">•</span>Fat: 32g<!-- --> <span class=""jss67"">•</span>Protein: 17g</div>"
Marie,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 450<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Krackjack Biscuits,"<div class=""jss65"">Parle, <!-- -->17<!-- --> <!-- -->pieces (54g)</div>","<div class=""jss70"">Calories: 270<!-- --> <span class=""jss67"">•</span>Carbs: 37g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Marie Biscuits,"<div class=""jss65"">Parle, <!-- -->8<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 180<!-- --> <span class=""jss67"">•</span>Carbs: 32g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Digestive Marie,"<div class=""jss65"">Parle, <!-- -->9<!-- --> <!-- -->Cookies</div>","<div class=""jss70"">Calories: 215<!-- --> <span class=""jss67"">•</span>Carbs: 38g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Biscuit,"<div class=""jss65"">Parle, <!-- -->75<!-- --> <!-- -->grams packet</div>","<div class=""jss70"">Calories: 504<!-- --> <span class=""jss67"">•</span>Carbs: 50g<!-- --> <span class=""jss67"">•</span>Fat: 17g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Biscuits,"<div class=""jss65"">Parle Marie, <!-- -->11<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 240<!-- --> <span class=""jss67"">•</span>Carbs: 43g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Elaichi Rusk,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 433<!-- --> <span class=""jss67"">•</span>Carbs: 81g<!-- --> <span class=""jss67"">•</span>Fat: 9g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Cake,"<div class=""jss65"">Parle, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 413<!-- --> <span class=""jss67"">•</span>Carbs: 55g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Fab Biscuit,"<div class=""jss65"">Parle, <!-- -->9<!-- --> <!-- -->bicuit</div>","<div class=""jss70"">Calories: 500<!-- --> <span class=""jss67"">•</span>Carbs: 71g<!-- --> <span class=""jss67"">•</span>Fat: 22g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Mango Bite,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 390<!-- --> <span class=""jss67"">•</span>Carbs: 98g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Parle 2020 cashew cookies,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->gms</div>","<div class=""jss70"">Calories: 495<!-- --> <span class=""jss67"">•</span>Carbs: 47g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Original Gluco Biscuits/Bolacha Weight 60.5g,"<div class=""jss65"">Parle-g, <!-- -->5<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 125<!-- --> <span class=""jss67"">•</span>Carbs: 21g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Digestive biscuits,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 461<!-- --> <span class=""jss67"">•</span>Carbs: 64g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
